Aug 14 21:46:05.007 INFO Logging to file                         path: "/data/FULLNODE/FULLNODE/lighthouse/beacon/logs/beacon.log"
Aug 14 21:46:05.012 INFO Lighthouse started                      version: Lighthouse/v5.2.0-f1d88ba
Aug 14 21:46:05.012 INFO Configured for network                  name: holesky
Aug 14 21:46:05.012 INFO Data directory initialised              datadir: /data/FULLNODE/FULLNODE/lighthouse
Aug 14 21:46:05.012 WARN Ignoring --http-allow-sync-stalled      info: this flag is deprecated and will be removed
Aug 14 21:46:05.012 WARN Running HTTP server on port 5052
Aug 14 21:46:05.018 INFO Deposit contract                        address: 0x4242424242424242424242424242424242424242, deploy_block: 0
Aug 14 21:46:05.568 INFO Hot-Cold DB initialized                 split_state: 0xf32a60d4cc1f8d5532a4e8d572031259f1f2a5dad3b470294211082fda6535a8, split_slot: 2314016, service: freezer_db
Aug 14 21:46:05.568 INFO Blob DB initialized                     oldest_blob_slot: Some(Slot(2182976)), path: "/data/FULLNODE/FULLNODE/lighthouse/beacon/blobs_db", service: freezer_db
Aug 14 21:46:05.607 INFO Refusing to checkpoint sync             msg: database already exists, use --purge-db to force checkpoint sync, service: beacon
Aug 14 21:46:05.607 INFO Starting beacon chain                   method: resume, service: beacon
Aug 14 21:48:26.005 INFO Block production enabled                method: json rpc via http, endpoint: Auth { endpoint: "http://127.0.0.1:8551/", jwt_path: "/data/FULLNODE/FULLNODE/jwt/jwtsecret", jwt_id: None, jwt_version: None }
Aug 14 21:48:26.019 WARN Error connecting to eth1 node endpoint  endpoint: http://127.0.0.1:8551/, auth=true, service: deposit_contract_rpc
Aug 14 21:48:26.019 ERRO Error updating deposit contract cache   error: Invalid endpoint state: RequestFailed("eth_chainId call failed HttpClient(url: http://127.0.0.1:8551/, kind: request, detail: error trying to connect: tcp connect error: Connection refused (os error 111))"), retry_millis: 60000, service: deposit_contract_rpc
Aug 14 21:48:26.050 WARN State cache missed                      block_root: 0x5d436e68d9658377165baf399b2d81bec9a3923897661e8c2921ec13b7fcfbb3, state_root: 0x5428a2e10482da01851cdf64fc225d84a7a4cf5281e424112e722d621710b9de, service: freezer_db
Aug 14 21:48:32.078 INFO Beacon chain initialized                head_slot: 2314092, head_block: 0x5d43…fbb3, head_state: 0x5428…b9de, service: beacon
Aug 14 21:48:32.079 INFO Timer service started                   service: node_timer
Aug 14 21:48:32.079 INFO UPnP Attempting to initialise routes
Aug 14 21:48:32.087 INFO ENR Initialised                         quic6: None, quic4: Some(9001), udp6: None, tcp6: None, tcp4: Some(9000), udp4: None, ip4: None, id: 0xb822..da24, seq: 1693, enr: enr:-Le4QMw7gV3t-ES1t9mT1g6NKMhQFqETfpE9rU0vkkAiBzzffu4ICCs_ZJd6Nx9Jj0R5qOcEWDCt8fVummKX6KJuiq6CBp2HYXR0bmV0c4gAAAAAAAAAAIRldGgykGmuDpkFAXAA__________-CaWSCdjSEcXVpY4IjKYlzZWNwMjU2azGhAwtCBxcYfRR40Tm4hWV27m2rTRzOa4nEqlpZXrQ7HXqbiHN5bmNuZXRzAIN0Y3CCIyg, service: libp2p
Aug 14 21:48:32.088 INFO Libp2p Starting                         bandwidth_config: 3-Average, peer_id: 16Uiu2HAmDQwEKmLeh3T4bRaktwpE9WJHpvTbhZ4TmAmsRCMT8ESe, service: libp2p
Aug 14 21:48:32.088 INFO Listening established                   address: /ip4/0.0.0.0/tcp/9000/p2p/16Uiu2HAmDQwEKmLeh3T4bRaktwpE9WJHpvTbhZ4TmAmsRCMT8ESe, service: libp2p
Aug 14 21:48:32.089 INFO Listening established                   address: /ip4/0.0.0.0/udp/9001/quic-v1/p2p/16Uiu2HAmDQwEKmLeh3T4bRaktwpE9WJHpvTbhZ4TmAmsRCMT8ESe, service: libp2p
Aug 14 21:48:32.127 INFO Subscribing to all subnets              service: attestation_service
Aug 14 21:48:32.130 INFO HTTP API started                        listen_address: 0.0.0.0:5052
Aug 14 21:48:32.130 INFO Metrics HTTP server started             listen_address: 0.0.0.0:5054
Aug 14 21:48:32.137 ERRO Error during execution engine upcheck   error: HttpClient(url: http://127.0.0.1:8551/, kind: request, detail: error trying to connect: tcp connect error: Connection refused (os error 111)), service: exec
Aug 14 21:48:32.137 WARN Execution engine call failed            error: HttpClient(url: http://127.0.0.1:8551/, kind: request, detail: error trying to connect: tcp connect error: Connection refused (os error 111)), service: exec
Aug 14 21:48:32.137 ERRO Error during execution engine upcheck   error: HttpClient(url: http://127.0.0.1:8551/, kind: request, detail: error trying to connect: tcp connect error: Connection refused (os error 111)), service: exec
Aug 14 21:48:32.137 WARN Error whilst processing payload status  error: Api { error: HttpClient(url: http://127.0.0.1:8551/, kind: request, detail: error trying to connect: tcp connect error: Connection refused (os error 111)) }, service: exec
Aug 14 21:48:32.137 WARN Failed to update head on execution engines, error: ExecutionForkChoiceUpdateFailed(EngineError(Api { error: HttpClient(url: http://127.0.0.1:8551/, kind: request, detail: error trying to connect: tcp connect error: Connection refused (os error 111)) }))
Aug 14 21:48:32.137 ERRO Error during execution engine upcheck   error: HttpClient(url: http://127.0.0.1:8551/, kind: request, detail: error trying to connect: tcp connect error: Connection refused (os error 111)), service: exec
Aug 14 21:48:32.533 INFO Sync state updated                      new_state: Syncing Head Chain, old_state: Stalled, service: sync
Aug 14 21:48:35.262 INFO Execution payloads are pruned           service: freezer_db
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741287, pubkey: 0x8042d6e44eca9dc1b6c411a920479a716ccd0a47de1b9e3b2937f28b0ac28cb426c7f009423a913adcdb15d4a683de08, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741332, pubkey: 0xae182143de172203712f7f1d93b8fa11edf43d449823c84da8652f010c8ea20f6c966d55e32418888e3602f05fd99808, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794117, pubkey: 0x8460fb570f5a888b455203511d04815ec670829bb53880d6c21d3c5f53c28b46092e61e8841984c11697eae900bfb762, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794118, pubkey: 0xb3abdc5a0f62c55c5cbb65142742f5c8900dfc051e3311f735e9444db8947509d96f7ee4cebc60eb5b7eb0721156671d, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741326, pubkey: 0xaa40ddacf8640c5e91066d20f3948af85062e129aeff46f1412fbf4cfbf8a090ef017c5822a4cd307db24f37ab961509, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794110, pubkey: 0x8fc8225d3c168ac065b9a5c7141d1904ed47aa0a6882deae5685a1a7db1dd75dfc2cc84cea649eb370686037ad8901e3, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794247, pubkey: 0xb5a8a1b704c74c3c9bc2e76e469c53733a6950c43fbc4feb91bc600883edf6fd63cfb07e9a9ee3487f675219c416d5b6, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1793943, pubkey: 0xa6ae3d325e94e1a4fa6d34c0fc26e7cecf024df785fab56ae3dbf5f18ebeeb2d2af282f26524aa75254a34d9aec8145c, service: val_mon, service: beacon
